party,coalition,seats
DAP,Pakatan Harapan,40
PKR,Pakatan Harapan,31
AMANAH,Pakatan Harapan,8
UPKO,Pakatan Harapan,2
UMNO,Barisan Nasional,26
MCA,Barisan Nasional,2
MIC,Barisan Nasional,1
PBRS,Barisan Nasional,1
PBB,Gabungan Parti Sarawak,14
PRS,Gabungan Parti Sarawak,5
PDP,Gabungan Parti Sarawak,2
SUPP,Gabungan Parti Sarawak,2
Direct Member,Gabungan Rakyat Sabah,4
PBS,Gabungan Rakyat Sabah,1
STAR,Gabungan Rakyat Sabah,1
PAS,Perikatan Nasional,43
BERSATU,Perikatan Nasional,25
Other,,14
